ThreadID,Throughput
0,345.30386740331494
1,345.30386740331494
2,345.30386740331494
3,345.30386740331494
4,345.30386740331494
5,345.30386740331494
6,345.30386740331494
7,345.30386740331494
8,345.30386740331494
9,345.30386740331494
10,345.30386740331494
11,345.30386740331494
12,345.30386740331494
13,345.30386740331494
14,345.30386740331494
15,345.30386740331494
16,345.30386740331494
17,345.30386740331494
18,345.30386740331494
19,345.30386740331494
20,345.30386740331494
21,345.30386740331494
22,345.30386740331494
23,345.30386740331494
24,345.30386740331494
25,345.30386740331494
26,345.30386740331494
27,345.30386740331494
28,345.30386740331494
29,345.30386740331494
30,345.30386740331494
31,345.30386740331494
